old_id	new_id
tang-0233	tang-0000006h
tang-0234	tang-0000006i
tang-0235	tang-0000006j
tang-0236	tang-0000006k
tang-0237	tang-0000006l
tang-0238	tang-0000006m
tang-0239	tang-0000006n
tang-0240	tang-0000006o
tang-0241	tang-0000006p
tang-0242	tang-0000006q
tang-0243	tang-0000006r
tang-0244	tang-0000006s
tang-0245	tang-0000006t
tang-0246	tang-0000006u
tang-0247	tang-0000006v
tang-0248	tang-0000006w
tang-0249	tang-0000006x
tang-0250	tang-0000006y
tang-0251	tang-0000006z
tang-0252	tang-00000070
tang-0253	tang-00000071
tang-0254	tang-00000072
tang-0255	tang-00000073
tang-0256	tang-00000074
tang-0257	tang-00000075
tang-0258	tang-00000076
tang-0259	tang-00000077
tang-0260	tang-00000078
tang-0261	tang-00000079
tang-0262	tang-0000007a
tang-0263	tang-0000007b
tang-0264	tang-0000007c
tang-0265	tang-0000007d
tang-0266	tang-0000007e
tang-0267	tang-0000007f
tang-0268	tang-0000007g
tang-0269	tang-0000007h
tang-0270	tang-0000007i
tang-0271	tang-0000007j
tang-0272	tang-0000007k
tang-0273	tang-0000007l
tang-0274	tang-0000007m
tang-0275	tang-0000007n
tang-0276	tang-0000007o
tang-0277	tang-0000007p
tang-0278	tang-0000007q
tang-0279	tang-0000007r
tang-0280	tang-0000007s
tang-0281	tang-0000007t
tang-0282	tang-0000007u
tang-0283	tang-0000007v
tang-0284	tang-0000007w
tang-0285	tang-0000007x
tang-0286	tang-0000007y
tang-0287	tang-0000007z
tang-0288	tang-00000080
tang-0289	tang-00000081
tang-0290	tang-00000082
tang-0291	tang-00000083
tang-0292	tang-00000084
tang-0293	tang-00000085
tang-0294	tang-00000086
tang-0295	tang-00000087
tang-0296	tang-00000088
tang-0297	tang-00000089
tang-0298	tang-0000008a
tang-0299	tang-0000008b
tang-0300	tang-0000008c
tang-0301	tang-0000008d
tang-0302	tang-0000008e
tang-0303	tang-0000008f
tang-0304	tang-0000008g
tang-0305	tang-0000008h
tang-0306	tang-0000008i
tang-0307	tang-0000008j
tang-0308	tang-0000008k
tang-0309	tang-0000008l
tang-0310	tang-0000008m
tang-0311	tang-0000008n
tang-0312	tang-0000008o
tang-0313	tang-0000008p
tang-0314	tang-0000008q
tang-0315	tang-0000008r
tang-0316	tang-0000008s
tang-0317	tang-0000008t
tang-0318	tang-0000008u
tang-0319	tang-0000008v
tang-0320	tang-0000008w
tang-0321	tang-0000008x
